Proxima Centauri b;Proxima Centauri;≥ 1.173 ME;0.04857±0.00029;11.184 18±0.00068;0.109±0.076;-;0.8-1.5 RE
Proxima Centauri c;Proxima Centauri;7±1 ME;1.489±0.049;1928±20;0.04±0.01;133±1º;-
Gliese 15 Ab;Groombridge 34 A;≥ 3.03±−0.44 M⊕;0.072;11.4407;0.094;-;-
Gliese 15 Ac;Groombridge 34 A;≥ 36 M⊕;5.4;~7,600;0.27;-;-
Upsilon Andromedae b;Upsilon Andromedae;1.70 MJ;0.0594±0.0003;4.62±0.23;0.022±0.007;24±4°;~1.3 RJ
Upsilon Andromedae c;Upsilon Andromedae;13.98+2.3 MJ;0.829±0.043;241.26±0.64;0.260±0.079;7.9 ± 1°;—
Upsilon Andromedae d;Upsilon Andromedae;10.25+0.7 MJ;2.530±0.014;1276.46±0.57;0.299±0.072;23.8 ± 1°;—
Upsilon Andromedae e;Upsilon Andromedae;> 1.059 MJ;~5.25;3848.86±0.74;0.0055±0.0004;—;—
Luyten c;Luyten's Star;1.18 ± 0.16 M⊕;0.036467;4.7234 ± 0.0004;0.17;—;—
HD 113538 b;HD 113538;≥ 0.27±0.08 MJ;0.71±0.01;263.3±2.3;0.61±0.11;—;—
HD 113538 c;HD 113538;≥ 0.71±0.06 MJ;2.43±0.06;1657±48;0.32±0.06;—;—
HD 114386 b;HD 114386;0.37 MJ;1.65;445;0.12;—;—
HD 114386 c;HD 114386;1.19 MJ;1.83;1046;0.06;—;—
HD 117618 b;HD 117618;>0.178 ± 0.021 MJ;0.176 ± 0.010;25.827±0.019;0.42 ± 0.17;—;—